p0,T_voronoi,mean_q,T_vertex,how,tau_voronoi,tau_vertex,tau_ratio_v_over_V
3.75,0.0096,3.788348643714286,,q_outside_vertex,7197.07876080598,,
3.75,0.0105,3.7914929289374997,,q_outside_vertex,2655.025680274773,,
3.75,0.011,3.7940949131868127,,q_outside_vertex,1311.405074775784,,
3.75,0.0115,3.7974532226629214,,q_outside_vertex,913.2265518556721,,
3.75,0.012,3.79903720252809,,q_outside_vertex,622.3030392633742,,
3.75,0.013,3.8044703110561793,,q_outside_vertex,243.7109584399479,,
3.75,0.014,3.810449934191011,,q_outside_vertex,175.2063718259274,,
3.75,0.016,3.81676377377528,,q_outside_vertex,65.05251101056447,,
3.75,0.02,3.828666776505618,0.01104255356460831,interp_T_nonmonotone,25.46127231329132,71003.93967147554,2788.703517946744
3.75,0.025,3.838962372573034,0.0131008171051635,interp_T_nonmonotone,13.32342057517295,14625.43998956899,1097.7241097396745
3.75,0.03105,3.849883514157303,0.014940770362239937,interp_T_nonmonotone,8.229903335418154,5444.538578402912,661.5555926364085
3.75,0.039,3.8613552738314607,0.017458666000517837,interp_T_nonmonotone,4.287542146945071,1324.516070709362,308.92199430694734
3.75,0.063,3.888925450752809,0.025142254812634962,interp_T_nonmonotone,1.926290050099505,318.1495294839059,165.16179869561776
3.775,0.0054,3.7920370705809523,,q_outside_vertex,8665.801909860707,,
3.775,0.0056,3.7936267029117645,,q_outside_vertex,7227.75083967605,,
3.775,0.0063,3.796974314364583,,q_outside_vertex,2856.371850023293,,
3.775,0.007,3.799646487536842,,q_outside_vertex,1380.498313664743,,
3.775,0.0075,3.802657713021053,,q_outside_vertex,742.093995695809,,
3.775,0.008,3.8054117250898885,,q_outside_vertex,530.794939576096,,
3.775,0.009,3.8106606800561797,,q_outside_vertex,215.0502631891484,,
3.775,0.01,3.8148123092022472,,q_outside_vertex,134.4673617873331,,
3.775,0.012,3.8215143729213485,,q_outside_vertex,63.67532549552178,,
3.775,0.016,3.83333737964045,0.008559424458265527,interp_T_nonmonotone,23.32285883787096,35814.71734652547,1535.6058018226565
3.775,0.02,3.842086953741573,0.010233189500096844,interp_T_nonmonotone,12.90859889256897,43103.859876533956,3339.15866743271
3.775,0.025,3.8517663760898873,0.012146476812151428,interp_T_nonmonotone,7.154118682571008,6696.147909379148,935.9850187686183
3.775,0.03105,3.8618139238314604,0.01396529485854359,interp_T_nonmonotone,4.692869734543438,1362.0676034837616,290.2419373497217
