p0,T,mean_q,std_mean_q,mean_q_minus_p0,mean_P,p6,p5p7,eP,n_frames
3.75,0.01086389,3.8280127078202244,0.0009130392387257593,0.0780127078202244,3.826429425977528,0.9712023788606741,0.028775675912921347,0.010166911547483146,89
3.75,0.01233005,3.8333801667415734,0.0009931547009326175,0.08338016674157345,3.8316069950674154,0.9754707250662922,0.02450732970505618,0.011526186253033708,89
3.75,0.01243609,3.837329675440476,0.0010235968908370507,0.08732967544047598,3.835397559333333,0.9241013299845238,0.0758637927827381,0.012317703265238093,84
3.75,0.01345518,3.8412746337857135,0.0008327063197452397,0.09127463378571354,3.839221615738096,0.9239676339249999,0.0759916759672619,0.013325987462261903,84
3.75,0.01379935,3.8406781032022472,0.000968299089251693,0.09067810320224723,3.838637689764045,0.9492022910786515,0.05077027738764045,0.013331424426516853,89
3.75,0.01454034,3.8465191571923074,0.001021168470088352,0.09651915719230741,3.844264255307692,0.9007724859794871,0.09901467348141026,0.014668597545000002,78
3.75,0.01479003,3.8461789699166666,0.001079269525682888,0.09617896991666663,3.8439417782857133,0.9255196707583332,0.07429431733630952,0.014703666046904762,84
3.75,0.01513379,3.8515052367435887,0.0009447010797915816,0.10150523674358869,3.8490871824102575,0.8645019531141025,0.13539162661153845,0.015874625184615385,78
3.75,0.01593991,3.8529414589871793,0.0010468489603096408,0.10294145898717932,3.850445408089744,0.8844056740717948,0.11517177483717948,0.016495856175256406,78
3.75,0.0173726,3.860722025,0.0008563078107896835,0.11072202499999984,3.8579077283424663,0.8404122966602741,0.15884524827945207,0.018542221492602737,73
3.75,0.01750172,3.8616720527534247,0.001111322579011009,0.11167205275342473,3.858849912849315,0.8325094980712328,0.16697212114657534,0.018788194930136986,73
3.75,0.021317,3.8767513114794525,0.0012825487830568833,0.1267513114794525,3.8732292653835616,0.7750327750493151,0.22377327697123287,0.0238899293509589,73
3.75,0.02871607,3.9002993659452057,0.0013165974881883978,0.15029936594520565,3.8956409597534236,0.7346559289397261,0.2632705479479452,0.032807810780821914,73
3.75,0.03830322,3.9271265912465747,0.001438256364424107,0.1771265912465747,3.920918512698631,0.6774400684999999,0.3188209011041096,0.04469245882410959,73
3.75,0.05939491,3.9745443287534243,0.0017081773981043873,0.22454432875342434,3.9647847850273976,0.6135086686630138,0.37786614405205476,0.07054516355452055,73
3.75,0.09518981,4.0387104476712326,0.002131413388664195,0.28871044767123255,4.022475077191781,0.5604766427657534,0.42117936643972603,0.11363450014520547,73
3.75,0.1507937,4.119890036945206,0.0030544176155085025,0.36989003694520584,4.092349295273973,0.5201566513246575,0.44279082833835615,0.1805209791260274,73
3.775,0.00843176,3.832861818011236,0.0007783314278732738,0.05786181801123602,3.831368876483146,0.957234243333708,0.04267248946629214,0.006559068000595506,89
3.775,0.00957161,3.839929824809524,0.0008773032947857768,0.06492982480952403,3.8382182435952386,0.9247233073035713,0.07523600260416667,0.007830330963011905,84
3.775,0.01007535,3.8389843391011245,0.0008087520055919292,0.06398433910112455,3.837290150752809,0.971155745260674,0.0288305389747191,0.00790932263352809,89
3.775,0.01126058,3.845436836516854,0.0008985225014980784,0.07043683651685395,3.843509869146067,0.9424513913337078,0.05739224894662921,0.009184297701573033,89
3.775,0.01137213,3.8479792226547613,0.000982233504508224,0.07297922265476142,3.8459683105833333,0.9058256603452379,0.09397088913690477,0.00966312898752381,84
3.775,0.01148049,3.8493543086538446,0.0010948489687469774,0.07435430865384474,3.8473202546794867,0.8903558193128208,0.10947516025064101,0.009859294559115384,78
3.775,0.01235791,3.8525321436666666,0.000989181862096454,0.07753214366666672,3.850358415797619,0.9012073335154763,0.09852236792916666,0.010636540036428572,84
3.775,0.01305204,3.856174844371794,0.0008309645961384158,0.08117484437179412,3.853861785397435,0.8775885166205126,0.12232071314999998,0.011461716856410259,78
3.775,0.01410022,3.862647046794521,0.0007865050063102729,0.08764704679452118,3.8601019401506855,0.8297938516712329,0.16987505350136986,0.012931277830958902,73
3.775,0.01531428,3.8682531820000006,0.0011181965289273432,0.09325318200000066,3.865504662904109,0.8202523009520548,0.17919252996849316,0.014369846637671234,73
3.775,0.0182283,3.8802771045479454,0.001178324585111582,0.10527710454794548,3.877009861383561,0.7717619595438356,0.22764608304520548,0.017757481151780823,73
3.775,0.02445457,3.9020590933287664,0.00107968240226798,0.12705909332876653,3.8977473781369856,0.7163587596328767,0.2822399400671233,0.025009480081780822,73
3.775,0.03610087,3.9346474875068496,0.0014063860295320742,0.15964748750684965,3.9283705176301367,0.6687881260698629,0.3267972763219178,0.03824451160890411,73
3.775,0.05356109,3.975526026164384,0.001614101175164599,0.20052602616438397,3.9661994531780826,0.6244983411849315,0.3667426958506849,0.05847001273191782,73
3.775,0.07946596,4.023972193246575,0.0024040336737525584,0.24897219324657494,4.010018250561644,0.5848873608767123,0.3992167433630137,0.08793303944808219,73
3.775,0.11789975,4.086612048835617,0.0029661007288321367,0.3116120488356171,4.065063383753426,0.5384337542835615,0.43277437392876716,0.13322145042328765,73
3.8,0.00422529,3.82891439358427,0.0005673840583479925,0.028914393584270393,3.8278773793707863,0.9459790861966291,0.05400719803370786,0.0025334865308202247,89
