p0,T,mean_q,std_mean_q,mean_q_minus_p0,mean_P,p6,p5p7,eP,n_frames
3.75,0.0096,3.788348643714286,0.0009386295054725959,0.038348643714285924,3.787401358590476,0.9709123883904762,0.02907831101190476,0.00472478379927619,105
3.75,0.0105,3.7914929289374997,0.001026601193245501,0.041492928937499673,3.79043594859375,0.957918802903125,0.042012532552083336,0.005218430723364584,96
3.75,0.0115,3.7974532226629214,0.0011654691256751302,0.0474532226629214,3.7961744987078654,0.9182842126078653,0.08164172226123595,0.006063094763752809,89
3.75,0.011,3.7940949131868127,0.0008455146315762926,0.04409491318681269,3.792933683802198,0.9416450248956044,0.058255709134615384,0.005656324210934067,91
3.75,0.012,3.79903720252809,0.0010590433500918732,0.049037202528090074,3.797695340258427,0.9153874429393257,0.08447265625,0.006364225066955057,89
3.75,0.013,3.8044703110561793,0.0015186565803251759,0.05447031105617928,3.802926560382022,0.8760231961033706,0.1237600948011236,0.007260901820719102,89
3.75,0.014,3.810449934191011,0.001014939301391819,0.06044993419101097,3.8086845649999996,0.8342230293157304,0.1654999122247191,0.008261939998741575,89
3.75,0.016,3.81676377377528,0.0010236772278111545,0.0667637737752802,3.8147307923258422,0.8052827642157303,0.19422621137865168,0.009647796190966293,89
3.75,0.025,3.838962372573034,0.0010782726362774677,0.08896237257303419,3.8358280211348306,0.705722765977528,0.2923542837022472,0.01580784933033708,89
3.75,0.02,3.828666776505618,0.0012370721828251403,0.07866677650561815,3.826103105146068,0.7463570926988764,0.2527047489516854,0.012545571517977529,89
3.75,0.03105,3.849883514157303,0.0014028498045858045,0.09988351415730312,3.8460354143483144,0.6657495391516853,0.33022351210898876,0.019559312746516854,89
3.75,0.039,3.8613552738314607,0.0012505611320365246,0.11135527383146071,3.8567304218314606,0.6397773656943819,0.3536774710292135,0.024280157703033708,89
3.75,0.063,3.888925450752809,0.0015679238111208779,0.13892545075280882,3.8818173881123594,0.5705868153067416,0.4131517731696629,0.03739789606011236,89
3.775,0.0054,3.7920370705809523,0.0007931336504459423,0.017037070580952385,3.791333812742857,0.9759463355628571,0.024042038690476192,0.0022386963424,105
3.775,0.0056,3.7936267029117645,0.00080347072333419,0.018626702911764603,3.792869870813726,0.9626321231607843,0.037358302696078434,0.0023470014249509803,102
3.775,0.0063,3.796974314364583,0.0007927702782569923,0.02197431436458297,3.7961041526562496,0.944307963053125,0.055643717447916664,0.0027283270087395833,96
3.775,0.0075,3.802657713021053,0.0008199873829210223,0.02765771302105291,3.8015763132000004,0.9089586759873685,0.09098478618473685,0.0033796878792000003,95
3.775,0.007,3.799646487536842,0.0009206152859845039,0.024646487536842177,3.7986738900210533,0.9331620065715788,0.06673519736842105,0.0030825457160105264,95
3.775,0.008,3.8054117250898885,0.000914272677093469,0.03041172508988854,3.804231047314607,0.8907923323460673,0.10909519837977527,0.003709497255662922,89
3.775,0.009,3.8106606800561797,0.0009700217571091729,0.03566068005617984,3.8092831387191017,0.8478921611651684,0.15192130442247193,0.004391810264089888,89
3.775,0.012,3.8215143729213485,0.0009773916705480396,0.046514372921348635,3.819698374213483,0.7866622410460674,0.2126876316741573,0.0062165940193370794,89
