p0_voronoi,T,mean_q_voronoi,p0_vertex_match,how,n_vertex_p0_at_T,tau_voronoi,tau_vertex_match,tau_ratio_v_over_V
3.825,0.005,3.839087891269663,3.8070763271056114,interp_q,4,53.82663082998006,21492.22758553754,399.2861387409542
3.825,0.0063,3.843030358573034,3.803364283995902,interp_q,4,38.93262330160253,13884.91848707905,356.63968439823896
3.825,0.008,3.84728713052809,,q_outside_vertex,4,26.705706503092202,,
3.825,0.01,3.8520475985056177,3.789158346066365,interp_q,5,18.624292362874726,6853.824394750273,368.0045534729976
3.825,0.016,3.864660648797753,3.7659878832448954,interp_q,6,8.175170221727766,1302.9965710227114,159.3846410145246
3.825,0.03105,3.8879225991460675,,q_outside_vertex,6,2.958250485864885,,
3.825,0.039,3.897356031359551,,q_outside_vertex,6,2.289574011305053,,
3.825,0.063,3.920450050910112,,q_outside_vertex,6,0.7900326516170211,,
3.85,0.00018,3.8502289139166663,,few_p0,0,2304.613440869596,,
3.85,0.00033,3.8504233884606744,,few_p0,0,928.9141411257332,,
3.85,0.0005,3.85071916788764,,few_p0,0,469.9966551958508,,
3.85,0.00067,3.850937965932584,,few_p0,0,318.22883537986144,,
3.85,0.001,3.851627324449438,,few_p0,1,184.83892193302154,,
3.85,0.002,3.8537922135842697,3.8433552925338934,interp_q,2,70.26110474336025,11232.690458239913,159.87067808382866
3.85,0.0025,3.8549467449550567,3.8414334675887685,interp_q,2,52.13604938957776,8632.032734988572,165.5674497023581
3.85,0.00385,3.858229542853932,3.836700101221683,interp_q,3,33.47216517177898,4611.711692545906,137.7775136110444
3.85,0.005,3.860484308303371,3.832543949491847,interp_q,4,23.069156048144134,5145.4108613722365,223.04287381098948
3.85,0.01,3.871310278752809,3.8140161810944013,interp_q,5,8.869681254159826,951.4737518343695,107.27259803029948
3.85,0.016,3.8817571018202246,3.7911996914029507,interp_q,6,5.598944530254805,470.711469824609,84.07146512722947
3.85,0.039,3.911386889786517,,q_outside_vertex,6,1.183304528159174,,
