p0,T,model,mean_q,std_q,mean_q_minus_p0,p4,p5,p6,p7,p8,p5p7,eA,eP,eN,var_A,var_P,f_ell_lt_T1,median_ell,Tkin,n_q,n_ell,verdict
3.8,0.016,vertex,3.888220596092399,0.08704387497112014,0.08822059609239918,0.00014380886130136987,0.12129106913527397,0.757742267765411,0.12006702161815068,0.0007558326198630137,0.24135809075342465,0.0031147964013972605,0.013738725419452055,0.016853521820684933,0.0031147964013367602,0.0065069331582751095,0.0,0.6520342107,nan,299008,897024,not_same_mechanical_state
3.8,0.016,voronoi,3.8487837847814297,0.06858166920328977,0.04878378478142986,0.0007022471910112359,0.15447792310393257,0.6905970198384831,0.152563202247191,0.0016596076193820225,0.3070411253511236,0.002770872062752809,0.007740756359134831,0.010511628421123596,0.0027708720627651175,0.005604061057495641,0.0013926073852996255,0.6554352537999999,0.01595877714292135,364544,1093632,not_same_mechanical_state
3.8,0.01,vertex,3.8607481065043276,0.07225533686876406,0.060748106504327826,6.688784246575342e-06,0.07694777397260275,0.8461980950342466,0.07673373287671233,0.00011370933219178082,0.15368150684931509,0.002021802906630137,0.007533364076863013,0.009555166983465755,0.0020218029066506036,0.004094498358055852,0.0,0.64738404365,nan,299008,897024,not_same_mechanical_state
3.8,0.01,voronoi,3.833740251666402,0.06041769928179352,0.033740251666402266,0.00027431530898876406,0.1258887816011236,0.7480551044592697,0.12512618504213482,0.0006556135884831461,0.2510149666432584,0.0018652794366067417,0.004641129267730337,0.006506408704348316,0.0018652794366633898,0.0036208361617704183,0.0009619323501872659,0.6522257542500001,0.010005873589910112,364544,1093632,not_same_mechanical_state
3.8,0.008,vertex,3.8507410647782576,0.06626384263269952,0.050741064778257794,1.0033176369863013e-05,0.06162376926369863,0.8767357395119864,0.06161708047945205,1.3377568493150684e-05,0.12324084974315068,0.001653752704369863,0.005676959537479452,0.007330712241821917,0.0016537527043692865,0.0032761585501073203,0.0,0.6453662107,nan,299008,897024,not_same_mechanical_state
3.8,0.008,voronoi,3.8273452403179395,0.05680843858589258,0.027345240317939723,0.0001426439606741573,0.11071091555477527,0.7784739290730337,0.11034881934691011,0.00032369206460674155,0.2210597349016854,0.0015392218286966292,0.0035980200018314607,0.005137241830460674,0.0015392218286472957,0.002930908042482117,0.0008275178487827716,0.6503811429999999,0.008003029325921349,364544,1093632,not_same_mechanical_state
