p0,T,t,Fs_mean,Fs_std,Fs_sem,n_idx
3.75,0.1507937,0.010000000000218279,0.9999150615923502,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.011351307054675233,0.9998806595485575,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.012885217184670714,0.9998416087323185,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.014626405672618265,0.9997972809517333,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.016602882189250948,0.9997469631268867,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.018846441371867226,0.9996898458188722,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.021393174289532996,0.9996014392997695,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.024284049022937213,0.9994789321274664,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.027565569698412937,0.9993398704745482,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.03129052457769065,0.9991602700867144,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.035518835237547564,0.9989098328782531,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.040318520499702026,0.9986201980070017,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.045766790617234585,0.9982058918372443,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.051951289319191934,0.9977029995575816,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.05897150369355452,0.9970518687757943,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.06694036458868406,0.9961984264434776,0.0001,3.1622776601683795e-05,10
3.75,0.1507937,0.0759860632781475,0.9951115829620043,0.0001069852954468259,3.383172097580114e-05,10
3.75,0.1507937,0.08625411361274073,0.9937187577026027,0.0001371442672102518,4.33688252419142e-05,10
3.75,0.1507937,0.09790969283256912,0.9919367545387272,0.00017554754090244704,5.5513006689330305e-05,10
3.75,0.1507937,0.11114029869471674,0.9896427417728015,0.00022664581953750105,7.167170118939935e-05,10
3.75,0.1507937,0.12615876566045128,0.9866819544710685,0.0002902933732681097,9.179882491806638e-05,10
3.75,0.1507937,0.14320668866193417,0.982949218295372,0.0003690263669795123,0.00011669638363124099,10
3.75,0.1507937,0.16255830952494102,0.9781935652660708,0.00046568448629763005,0.00014726236477059833,10
3.75,0.1507937,0.1845249285666265,0.9721360788262217,0.0005853189406682996,0.00018509410101487847,10
3.75,0.1507937,0.209459912335607,0.9644874182686678,0.000726664776118417,0.00022979157879505265,10
