# Generated by Cursor. 2026-09-15
# Production-run tau_alpha from global KWW HMC of CRSISF at q=6.7 (mean over idx=0..9).
# tau_kww is the KWW scale F(tau)=A/e; tau_1e is the 1/e crossing of the mean curve.
# Includes original production T plus nine KWW-fill T. Skips p0=3.825 T=0.002607 (no tail).
p0,T,tau_kww,tau_kww_std,tau_1e,crossed_1e,A,beta
3.75,0.01499281,21900.537035997888,1783.7751209959004,9527.770541326972,1,0.5868697150519127,0.9731902744170262
3.75,0.01508705,11073.787564552327,505.3506299839288,4766.520642987879,1,0.5868697150519127,0.9731902744170262
3.75,0.01513379,10378.75661993094,607.7773347145953,4377.977938192124,1,0.5868697150519127,0.9731902744170262
3.75,0.016527131,5090.47860778848,235.555044842624,2143.700385868317,1,0.5868697150519127,0.9731902744170262
3.75,0.0173726,3263.8967756579955,118.2463000127042,1413.6449986815564,1,0.5868697150519127,0.9731902744170262
3.75,0.021317,1053.368319199542,20.00038864822658,508.5581545391624,1,0.5868697150519127,0.9731902744170262
3.75,0.02871607,411.12352691516605,5.4825229157085085,206.6763945230128,1,0.5868697150519127,0.9731902744170262
3.75,0.03830322,201.1651811653656,3.192829211586852,101.89417929762098,1,0.5868697150519127,0.9731902744170262
3.75,0.05939491,90.460130412889,1.259617284204478,44.5532876630397,1,0.5868697150519127,0.9731902744170262
3.75,0.09518981,46.56414027665583,0.6993042024251235,21.27223991917645,1,0.5868697150519127,0.9731902744170262
3.75,0.1507937,27.05685028092324,0.3201910214809449,11.6358481335981,1,0.5868697150519127,0.9731902744170262
3.75,0.16952498,23.18122094457905,0.3284891829763894,9.287237119097616,1,0.5868697150519127,0.9731902744170262
3.775,0.01135263,31451.630376806144,1686.3045031707895,14776.633662871482,1,0.5868697150519127,0.9731902744170262
3.775,0.01235791,9506.02654130801,490.7430028917453,3820.921257791993,1,0.5868697150519127,0.9731902744170262
3.775,0.01305204,6119.1585326381655,300.1208352642858,2526.595312770693,1,0.5868697150519127,0.9731902744170262
3.775,0.01531428,1930.0295114107132,52.68858543896625,918.210728983561,1,0.5868697150519127,0.9731902744170262
3.775,0.0182283,1020.9041920254328,20.462979861043088,492.04161974862177,1,0.5868697150519127,0.9731902744170262
3.775,0.02445457,422.7441923045925,7.967403599588078,210.90354350223723,1,0.5868697150519127,0.9731902744170262
3.775,0.03610087,180.77898635078736,2.6580423118474887,90.05018386213855,1,0.5868697150519127,0.9731902744170262
3.775,0.05356109,93.7242912886333,1.2578363189434156,46.57543477792754,1,0.5868697150519127,0.9731902744170262
3.775,0.07946596,54.23559206480278,0.6603253230713437,26.324467425857627,1,0.5868697150519127,0.9731902744170262
3.775,0.12396405,30.80221584648349,0.4202352353551226,13.5892616151436,1,0.5868697150519127,0.9731902744170262
3.775,0.13638536,27.649350167676275,0.3488709403883215,12.094952358030046,1,0.5868697150519127,0.9731902744170262
3.8,0.00796442,26403.32564900959,1300.2597921067486,10499.207908601637,1,0.5868697150519127,0.9731902744170262
3.8,0.00876128,9395.63504133249,335.22745019136374,4187.072910547397,1,0.5868697150519127,0.9731902744170262
3.8,0.00961925,5818.5252658224645,168.43195306050552,2563.905949399995,1,0.5868697150519127,0.9731902744170262
3.8,0.01157466,2323.8520551063984,48.023214985664566,1046.2033344135532,1,0.5868697150519127,0.9731902744170262
3.8,0.01365467,1265.2893960804356,21.188784615899262,611.1762380552319,1,0.5868697150519127,0.9731902744170262
3.8,0.01973598,474.4344726048501,6.751676878197205,246.749359027718,1,0.5868697150519127,0.9731902744170262
3.8,0.03119342,188.0183591014325,2.654592930435265,95.84254460877922,1,0.5868697150519127,0.9731902744170262
3.8,0.04493352,105.32448713728785,1.49927305233283,51.75155606770126,1,0.5868697150519127,0.9731902744170262
3.8,0.08400365,46.13941945509179,0.5915501495123755,20.89275421450268,1,0.5868697150519127,0.9731902744170262
3.8,0.11665069,31.67156760721476,0.4307093109033433,13.8107923837854,1,0.5868697150519127,0.9731902744170262
3.8,0.13345388,26.60323541422215,0.3673524042157917,11.495005819392668,1,0.5868697150519127,0.9731902744170262
3.815,0.00526263,75650.12865168285,6303.940193756081,35887.35303146419,1,0.5868697150519127,0.9731902744170262
3.815,0.0060978,19364.6140585464,1175.355503671143,8195.627444818654,1,0.5868697150519127,0.9731902744170262
3.815,0.0068171315,13069.99198059793,605.1263241176357,5369.56657095199,1,0.5868697150519127,0.9731902744170262
3.815,0.00829312,4171.850309696623,119.2597062836852,1894.924616266345,1,0.5868697150519127,0.9731902744170262
3.815,0.00881879,2931.4539932750517,72.10862782903139,1313.6890122488935,1,0.5868697150519127,0.9731902744170262
3.815,0.01273808,1004.2976991501438,20.81705730591652,492.4397090127815,1,0.5868697150519127,0.9731902744170262
3.815,0.02008463,362.1206789639938,6.113251844608553,184.40780485622344,1,0.5868697150519127,0.9731902744170262
3.815,0.03205711,162.2262459427924,2.4836792083796966,81.62155687514046,1,0.5868697150519127,0.9731902744170262
3.815,0.05607261,73.08765300235517,0.8928634956032472,35.60460752918553,1,0.5868697150519127,0.9731902744170262
3.815,0.09749689,36.732878795964695,0.4588851377276552,16.614264063838668,1,0.5868697150519127,0.9731902744170262
3.815,0.10562311,33.55303473233952,0.4349674463621237,14.432892737292947,1,0.5868697150519127,0.9731902744170262
3.815,0.12622191,28.66001928135998,0.4092236656965468,12.188801541764636,1,0.5868697150519127,0.9731902744170262
3.825,0.0057681,8160.228487401293,213.39106850944336,3660.220833139752,1,0.5868697150519127,0.9731902744170262
3.825,0.00687376,4382.06735761594,141.77788037244918,2058.435546911986,1,0.5868697150519127,0.9731902744170262
3.825,0.0085038,2061.461081882355,38.86170011877596,1001.698114396932,1,0.5868697150519127,0.9731902744170262
3.825,0.01083597,1117.6081342426355,21.507873511246384,539.9554864565582,1,0.5868697150519127,0.9731902744170262
3.825,0.01691592,429.9739949158372,8.243616653313842,211.69874032061784,1,0.5868697150519127,0.9731902744170262
3.825,0.02759231,189.3672525927029,2.473956676695924,95.0061445568572,1,0.5868697150519127,0.9731902744170262
3.825,0.04506436,90.68005703227496,1.231032994121274,44.88775916688412,1,0.5868697150519127,0.9731902744170262
3.825,0.06529403,57.12713498013733,0.7575610993775639,26.64022149366292,1,0.5868697150519127,0.9731902744170262
3.825,0.10321059,34.46046507979914,0.4152918353605503,15.384130308921907,1,0.5868697150519127,0.9731902744170262
3.825,0.12355752,28.131535030729022,0.3712538952772055,11.99582341041122,1,0.5868697150519127,0.9731902744170262
3.85,0.00163685,28057.94103449706,1277.383396384093,12025.63656279252,1,0.5868697150519127,0.9731902744170262
3.85,0.00227471,13932.54310519374,436.453910006194,6251.55902856342,1,0.5868697150519127,0.9731902744170262
3.85,0.0025044372,11294.300016610448,315.9297050340965,4982.847891115457,1,0.5868697150519127,0.9731902744170262
3.85,0.00373261,4278.843478183824,88.68485098282906,1987.1046621500384,1,0.5868697150519127,0.9731902744170262
3.85,0.00476227,2619.1845796327198,55.83687348911518,1274.696258855955,1,0.5868697150519127,0.9731902744170262
3.85,0.00826466,985.0380301516986,17.943849815698268,474.8401586603762,1,0.5868697150519127,0.9731902744170262
3.85,0.01212699,510.9841061087597,9.247050943130672,250.2096198604081,1,0.5868697150519127,0.9731902744170262
3.85,0.0239427,183.88910762854465,2.8481836917170296,94.1438880012904,1,0.5868697150519127,0.9731902744170262
3.85,0.04100738,88.26556719430255,1.1473988065659315,42.43203786305973,1,0.5868697150519127,0.9731902744170262
3.85,0.0636712,52.985712487934,0.7098682298353698,24.94149452720156,1,0.5868697150519127,0.9731902744170262
3.85,0.0988608,33.843222928352574,0.4234988417664377,14.638627011826316,1,0.5868697150519127,0.9731902744170262
3.85,0.11421505,29.1457794505901,0.4742898699490652,11.955339916484318,1,0.5868697150519127,0.9731902744170262
