p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.75,0.01379935,0.0,10000.0,10000.0,6751.513524389911,1,4096,0
3.75,0.01379935,100000.0,10000.0,10000.0,23248.86565885403,1,4096,0
3.75,0.01379935,10000.0,10000.0,10000.0,7734.439453688877,1,4096,0
3.75,0.01379935,110000.0,10000.0,10000.0,22707.989728077864,1,4096,0
3.75,0.01379935,120000.0,10000.0,10000.0,18286.018298435563,1,4096,0
3.75,0.01379935,130000.0,10000.0,10000.0,,0,4096,0
3.75,0.01379935,140000.0,10000.0,10000.0,,0,4096,0
3.75,0.01379935,20000.0,10000.0,10000.0,6297.012292785325,1,4096,0
3.75,0.01379935,30000.0,10000.0,10000.0,8374.379762369725,1,4096,0
3.75,0.01379935,40000.0,10000.0,10000.0,9458.26473532506,1,4096,0
3.75,0.01379935,50000.0,10000.0,10000.0,11359.36622113233,1,4096,0
3.75,0.01379935,60000.0,10000.0,10000.0,11970.647896725584,1,4096,0
3.75,0.01379935,70000.0,10000.0,10000.0,13671.347656234844,1,4096,0
3.75,0.01379935,80000.0,10000.0,10000.0,14077.767308022976,1,4096,0
3.75,0.01379935,90000.0,10000.0,10000.0,16493.954378757477,1,4096,0
3.75,0.01479003,0.0,4641.59,4641.59,2388.1879082934875,1,4096,0
3.75,0.01479003,13925.0,4641.59,4641.59,6042.354424490687,1,4096,0
3.75,0.01479003,18566.0,4641.59,4641.59,7454.206310421387,1,4096,0
3.75,0.01479003,23208.0,4641.59,4641.59,8078.002804736873,1,4096,0
3.75,0.01479003,27850.0,4641.59,4641.59,7288.380926162412,1,4096,0
3.75,0.01479003,32491.0,4641.59,4641.59,9419.093504179924,1,4096,0
3.75,0.01479003,37133.0,4641.59,4641.59,9287.752000994693,1,4096,0
3.75,0.01479003,41774.0,4641.59,4641.59,11175.786619342765,1,4096,0
3.75,0.01479003,46416.0,4641.59,4641.59,11456.997716880083,1,4096,0
3.75,0.01479003,4642.0,4641.59,4641.59,3720.497623165756,1,4096,0
3.75,0.01479003,51057.0,4641.59,4641.59,9779.971396670417,1,4096,0
3.75,0.01479003,55699.0,4641.59,4641.59,8540.272944938897,1,4096,0
3.75,0.01479003,60341.0,4641.59,4641.59,8698.004725997735,1,4096,0
3.75,0.01479003,64982.0,4641.59,4641.59,,0,4096,0
3.75,0.01479003,9283.0,4641.59,4641.59,4700.688961999093,1,4096,0
3.75,0.01593991,0.0,2154.43,2154.43,1260.0273450294283,1,4096,0
3.75,0.01593991,10772.0,2154.43,2154.43,2115.066072837098,1,4096,0
3.75,0.01593991,12927.0,2154.43,2154.43,2015.4356436050234,1,4096,0
3.75,0.01593991,15081.0,2154.43,2154.43,3339.608169537068,1,4096,0
3.75,0.01593991,17235.0,2154.43,2154.43,3075.1728116935215,1,4096,0
3.75,0.01593991,19390.0,2154.43,2154.43,2392.70987471432,1,4096,0
3.75,0.01593991,21544.0,2154.43,2154.43,3215.720003526467,1,4096,0
3.75,0.01593991,2154.0,2154.43,2154.43,1659.0064011638956,1,4096,0
3.75,0.01593991,23699.0,2154.43,2154.43,3450.9403938061605,1,4096,0
