model,p0,T,mean_A,std_A,skew_A,kurt_A,mean_P,std_P,skew_P,kurt_P,median_ell,f_ell_lt_T1,n_cells,n_ell,n_frames
vertex,3.75,0.1507937,1.0000000000009643,0.16272404669450227,-0.021483903436268378,0.0853440504839722,4.092517689301422,0.25132009615474765,-0.027199636271112316,-0.01085313726503312,0.68001138335,0.0,32768,98304,8
vertex,3.75,0.09518981,1.0000000000018219,0.1292030974573979,-0.017432194857825274,0.11012602417541562,4.024131602244476,0.198905626944513,-0.014117031597185272,0.08428823440712208,0.6718155829000001,0.0,32768,98304,8
vertex,3.75,0.05939491,1.000000000000644,0.10224492437792544,-0.026637235503111784,0.11049072839773455,3.9644537961591184,0.15631442424012518,-0.01497089839591701,0.05315981670959147,0.6649559033500001,0.0,32768,98304,8
vertex,3.75,0.03830322,0.9999999999987244,0.08134620704534323,-0.05355308531971768,0.0669407939944171,3.9211762416148375,0.12436539570562931,-0.0072715359218752905,-0.039042419761500025,0.6573785145,0.0,32768,98304,8
vertex,3.75,0.02871607,1.0000000000013518,0.07126121867371109,-0.06047287253368732,0.088605650652398,3.8958160167419433,0.10797980504686167,0.000823482443842569,0.01939298042107218,0.6532462370000001,0.0,32768,98304,8
vertex,3.75,0.021317,1.000000000000067,0.06124713792259563,-0.11213291594192194,0.057696111543457995,3.8728015431925353,0.09293515318871727,-0.0038560948643598745,0.01380919558921434,0.6501678639499999,0.0,32768,98304,8
vertex,3.75,0.01750172,0.9999999999996063,0.05526312998593552,-0.15198470846120668,0.0831798147214573,3.8586955744744262,0.0838731530028866,-0.027678881924460767,-0.01286638727219147,0.6476182975,0.0,32768,98304,8
vertex,3.75,0.0173726,1.0000000000008757,0.05496391279044185,-0.12352098948352919,0.11295343011433845,3.858314964685364,0.08318082439387961,0.0031526038734794974,-0.02120990355119723,0.64673005825,0.0,32768,98304,8
vertex,3.75,0.01593991,1.000000000001175,0.05270375990731007,-0.12881481547503418,0.12491325024370736,3.851155874459137,0.08013814049901355,-0.010440119346581173,0.0023222538040221785,0.6456410018500001,0.0,32768,98304,8
vertex,3.75,0.01513379,1.0000000000012328,0.05121484304137129,-0.13852206477003556,0.1512207416920357,3.8483759556739194,0.07752348329834699,-0.004208660302284627,-0.001446846711317118,0.6462098967500001,0.0,32768,98304,8
vertex,3.75,0.01479003,0.9999999999999605,0.04970568666976577,-0.1329322814132844,0.10521964541040196,3.84307013391333,0.07723751352344053,-0.0008909646220773924,0.0006774442090451416,0.64476236685,0.0,32768,98304,8
vertex,3.75,0.01454034,0.9999999999999512,0.04984339662098581,-0.133988218922917,0.0680677448335012,3.8442943265896607,0.07585390524918761,0.01566976499996054,0.037441411822647375,0.6446776497,0.0,32768,98304,8
vertex,3.75,0.01379935,0.9999999999977662,0.04775819402756956,-0.13070204106876745,0.1243974817584208,3.83895648179184,0.07399422256613399,0.0066820336785549566,-0.027124062844105623,0.6435546722500001,0.0,32768,98304,8
