p0,T,tauAlpha,source
3.815,0.063,0.8746718197576249,additionalTauAlpha_2026_06_06.csv
3.815,0.025,3.497855621381444,additionalTauAlpha_2026_06_06.csv
3.815,0.01,17.38966390729475,additionalTauAlpha_2026_06_06.csv
3.815,0.0063,40.53126014447913,additionalTauAlpha_2026_06_06.csv
3.815,0.005,63.18591917732393,additionalTauAlpha_2026_06_06.csv
3.815,0.00385,123.0056537350757,additionalTauAlpha_2026_06_06.csv
3.815,0.0028,245.2452836100766,additionalTauAlpha_2026_06_06.csv
3.815,0.0022,473.6304664843519,additionalTauAlpha_2026_06_06.csv
3.815,0.0015,1783.428986975867,additionalTauAlpha_2026_06_06.csv
3.815,0.0012,4554.685221673389,additionalTauAlpha_2026_06_06.csv
3.815,0.001,9590.437074312706,additionalTauAlpha_2026_06_06.csv
3.815,0.0008,25243.92624307873,additionalTauAlpha_2026_06_06.csv
3.815,0.00067,39867.66555424012,additionalTauAlpha_2026_06_06.csv
