# Generated by Cursor. 2026-09-12
# Batch 6 longest t_w CRSISF 1/e, default l_T1=0.01.
p0,T,tauAlphaEst,waitingTime,tauAlpha,ratio,crossed
3.750,0.015087052,4641.59,64982,4121.997,1.12605,1
3.750,0.014434896,10000,130000,14610.591,1.46106,1
3.775,0.12396405,10,14000,12.836991,1.2837,1
3.800,0.11665069,10,14000,12.937669,1.29377,1
3.815,0.0056561715,10000,130000,9771.018,1.02343,1
