p0,T,tauAlphaEst,T_old,tauMeasUsed,ratio,reason,source,fromBatch
3.750,0.015087052,4641.59,0.014992814,11062.247,2.38329,ratio>=1.5,coldest_1/T,b5
3.750,0.014434896,10000,0.014216387,25678.019,2.5678,ratio>=1.5,coldest_1/T,b5
3.775,0.12396405,10,0.15774637,1.9558719,5.11281,ratio>=1.5,coldest_1/T,b5
3.800,0.11665069,10,0.10807693,15.94025,1.59402,ratio>=1.5,coldest_1/T,b5
3.815,0.0056561715,10000,0.0052626311,19848.027,1.9848,ratio>=1.5,coldest_1/T,b5
