p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.75,0.0144349,0.0,10000.0,10000.0,4166.274657985888,1,4096,0
3.75,0.0144349,100000.0,10000.0,10000.0,13019.189553990393,1,4096,0
3.75,0.0144349,10000.0,10000.0,10000.0,6858.919216965463,1,4096,0
3.75,0.0144349,110000.0,10000.0,10000.0,16833.183889091564,1,4096,0
3.75,0.0144349,120000.0,10000.0,10000.0,15284.215938295905,1,4096,0
3.75,0.0144349,130000.0,10000.0,10000.0,14610.590663703284,1,4096,0
3.75,0.0144349,140000.0,10000.0,10000.0,,0,4096,0
3.75,0.0144349,20000.0,10000.0,10000.0,7385.252139592398,1,4096,0
3.75,0.0144349,30000.0,10000.0,10000.0,11037.875293917117,1,4096,0
3.75,0.0144349,40000.0,10000.0,10000.0,8511.22523286452,1,4096,0
3.75,0.0144349,50000.0,10000.0,10000.0,7298.087036756558,1,4096,0
3.75,0.0144349,60000.0,10000.0,10000.0,7448.845868960776,1,4096,0
3.75,0.0144349,70000.0,10000.0,10000.0,8552.780271305523,1,4096,0
3.75,0.0144349,80000.0,10000.0,10000.0,9507.395854707107,1,4096,0
3.75,0.0144349,90000.0,10000.0,10000.0,12396.887118117304,1,4096,0
3.75,0.01508705,0.0,4641.59,4641.59,2598.384612875199,1,4096,0
3.75,0.01508705,13925.0,4641.59,4641.59,4344.108480770864,1,4096,0
3.75,0.01508705,18566.0,4641.59,4641.59,4307.185811405508,1,4096,0
3.75,0.01508705,23208.0,4641.59,4641.59,3293.166461890358,1,4096,0
3.75,0.01508705,27850.0,4641.59,4641.59,2618.3983568983317,1,4096,0
3.75,0.01508705,32491.0,4641.59,4641.59,2455.7550712626185,1,4096,0
3.75,0.01508705,37133.0,4641.59,4641.59,3604.091106761589,1,4096,0
3.75,0.01508705,41774.0,4641.59,4641.59,4721.172972043927,1,4096,0
3.75,0.01508705,46416.0,4641.59,4641.59,4135.038519604685,1,4096,0
3.75,0.01508705,4642.0,4641.59,4641.59,2480.115708624708,1,4096,0
3.75,0.01508705,51057.0,4641.59,4641.59,3764.4993045789,1,4096,0
3.75,0.01508705,55699.0,4641.59,4641.59,3710.5052754657668,1,4096,0
3.75,0.01508705,60341.0,4641.59,4641.59,4353.6393203482,1,4096,0
3.75,0.01508705,64982.0,4641.59,4641.59,4121.996993528691,1,4096,0
3.75,0.01508705,9283.0,4641.59,4641.59,2424.2239681627357,1,4096,0
3.775,0.12396405,0.0,10.0,1000.0,12.372962290512264,1,4096,0
3.775,0.12396405,10000.0,10.0,1000.0,13.273979136019662,1,4096,0
3.775,0.12396405,1000.0,10.0,1000.0,12.384793698436015,1,4096,0
3.775,0.12396405,11000.0,10.0,1000.0,12.531669588029073,1,4096,0
3.775,0.12396405,12000.0,10.0,1000.0,13.589549989019648,1,4096,0
3.775,0.12396405,13000.0,10.0,1000.0,13.534397085615133,1,4096,0
3.775,0.12396405,14000.0,10.0,1000.0,12.836991213755175,1,4096,0
3.775,0.12396405,2000.0,10.0,1000.0,13.109595305244662,1,4096,0
3.775,0.12396405,3000.0,10.0,1000.0,13.365293490490044,1,4096,0
3.775,0.12396405,4000.0,10.0,1000.0,13.654405607483245,1,4096,0
3.775,0.12396405,5000.0,10.0,1000.0,12.700497908649554,1,4096,0
3.775,0.12396405,6000.0,10.0,1000.0,12.849602207140148,1,4096,0
3.775,0.12396405,7000.0,10.0,1000.0,12.596147640301753,1,4096,0
3.775,0.12396405,8000.0,10.0,1000.0,12.997804189508166,1,4096,0
3.775,0.12396405,9000.0,10.0,1000.0,14.62475444974389,1,4096,0
3.8,0.11665069,0.0,10.0,1000.0,13.377586977255302,1,4096,0
3.8,0.11665069,10000.0,10.0,1000.0,13.342791103935689,1,4096,0
3.8,0.11665069,1000.0,10.0,1000.0,13.327273782132126,1,4096,0
3.8,0.11665069,11000.0,10.0,1000.0,12.396547098271645,1,4096,0
3.8,0.11665069,12000.0,10.0,1000.0,12.867081856354028,1,4096,0
3.8,0.11665069,13000.0,10.0,1000.0,12.555078244640892,1,4096,0
3.8,0.11665069,14000.0,10.0,1000.0,12.937669093929829,1,4096,0
3.8,0.11665069,2000.0,10.0,1000.0,12.456675069826709,1,4096,0
3.8,0.11665069,3000.0,10.0,1000.0,12.625402627550834,1,4096,0
3.8,0.11665069,4000.0,10.0,1000.0,13.444605708130725,1,4096,0
3.8,0.11665069,5000.0,10.0,1000.0,13.45830204945018,1,4096,0
3.8,0.11665069,6000.0,10.0,1000.0,13.547520556232817,1,4096,0
3.8,0.11665069,7000.0,10.0,1000.0,11.927240988119143,1,4096,0
3.8,0.11665069,8000.0,10.0,1000.0,11.970018376058325,1,4096,0
3.8,0.11665069,9000.0,10.0,1000.0,12.135516642246133,1,4096,0
3.815,0.00565617,0.0,10000.0,10000.0,6620.851480914307,1,4096,0
3.815,0.00565617,100000.0,10000.0,10000.0,16479.652248607214,1,4096,0
3.815,0.00565617,10000.0,10000.0,10000.0,6812.950774118556,1,4096,0
3.815,0.00565617,110000.0,10000.0,10000.0,15926.853669110313,1,4096,0
3.815,0.00565617,120000.0,10000.0,10000.0,13054.498117253215,1,4096,0
