p0,T,tauAlphaEst,T_old,tauMeasUsed,ratio,reason,source,fromBatch
3.750,0.014992814,4641.59,0.014790031,8698.0047,1.87393,ratio>=1.5,meas_inverted,b4
3.750,0.014216387,10000,0.01379935,18286.018,1.8286,ratio>=1.5,meas_inverted,b4
3.775,0.15774637,10,0.11789975,14.798104,1.47981,logT_hot,meas_inverted_logT,b2
3.775,0.011352632,10000,0.011260584,18909.786,1.89098,ratio>=1.5,meas_inverted,b4
3.800,0.10807693,10,0.098304735,16.399367,1.63994,ratio>=1.5,meas_inverted,b4
3.815,0.0052626311,10000,0.0060978012,6764.5593,1.47829,cold_gap,meas_inverted,b3
