p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.75,0.01421639,0.0,10000.0,10000.0,3500.3968013839885,1,4096,0
3.75,0.01421639,100000.0,10000.0,10000.0,26844.047868069476,1,4096,0
3.75,0.01421639,10000.0,10000.0,10000.0,5761.41490541542,1,4096,0
3.75,0.01421639,110000.0,10000.0,10000.0,27836.915404726005,1,4096,0
3.75,0.01421639,120000.0,10000.0,10000.0,25678.018617512742,1,4096,0
3.75,0.01421639,130000.0,10000.0,10000.0,,0,4096,0
3.75,0.01421639,140000.0,10000.0,10000.0,,0,4096,0
3.75,0.01421639,20000.0,10000.0,10000.0,6691.7491594362045,1,4096,0
3.75,0.01421639,30000.0,10000.0,10000.0,13724.120303283682,1,4096,0
3.75,0.01421639,40000.0,10000.0,10000.0,11610.52511074528,1,4096,0
3.75,0.01421639,50000.0,10000.0,10000.0,12121.409678303045,1,4096,0
3.75,0.01421639,60000.0,10000.0,10000.0,14951.333456961276,1,4096,0
3.75,0.01421639,70000.0,10000.0,10000.0,13309.394653648502,1,4096,0
3.75,0.01421639,80000.0,10000.0,10000.0,24578.323583109763,1,4096,0
3.75,0.01421639,90000.0,10000.0,10000.0,28635.198412439233,1,4096,0
3.75,0.01499281,0.0,4641.59,4641.59,2357.692235714917,1,4096,0
3.75,0.01499281,13925.0,4641.59,4641.59,3325.5978592343995,1,4096,0
3.75,0.01499281,18566.0,4641.59,4641.59,4615.884035810436,1,4096,0
3.75,0.01499281,23208.0,4641.59,4641.59,3635.7938339234606,1,4096,0
3.75,0.01499281,27850.0,4641.59,4641.59,4941.407113182425,1,4096,0
3.75,0.01499281,32491.0,4641.59,4641.59,7266.942495750638,1,4096,0
3.75,0.01499281,37133.0,4641.59,4641.59,6215.132276934208,1,4096,0
3.75,0.01499281,41774.0,4641.59,4641.59,5386.421650501665,1,4096,0
3.75,0.01499281,46416.0,4641.59,4641.59,5843.294983535525,1,4096,0
3.75,0.01499281,4642.0,4641.59,4641.59,2890.1837717265626,1,4096,0
3.75,0.01499281,51057.0,4641.59,4641.59,8793.970588074,1,4096,0
3.75,0.01499281,55699.0,4641.59,4641.59,11062.247048963427,1,4096,0
3.75,0.01499281,60341.0,4641.59,4641.59,,0,4096,0
3.75,0.01499281,64982.0,4641.59,4641.59,,0,4096,0
3.75,0.01499281,9283.0,4641.59,4641.59,3633.4863246751097,1,4096,0
3.775,0.01135263,0.0,10000.0,10000.0,4377.918047343445,1,4096,0
3.775,0.01135263,100000.0,10000.0,10000.0,18623.318371928213,1,4096,0
3.775,0.01135263,10000.0,10000.0,10000.0,4664.652368583422,1,4096,0
3.775,0.01135263,110000.0,10000.0,10000.0,16409.001621007443,1,4096,0
3.775,0.01135263,120000.0,10000.0,10000.0,16309.755473235868,1,4096,0
3.775,0.01135263,130000.0,10000.0,10000.0,17997.039093868632,1,4096,0
3.775,0.01135263,140000.0,10000.0,10000.0,,0,4096,0
3.775,0.01135263,20000.0,10000.0,10000.0,4241.049442223335,1,4096,0
3.775,0.01135263,30000.0,10000.0,10000.0,4034.117652281912,1,4096,0
3.775,0.01135263,40000.0,10000.0,10000.0,6442.973943508978,1,4096,0
3.775,0.01135263,50000.0,10000.0,10000.0,6507.265160884863,1,4096,0
3.775,0.01135263,60000.0,10000.0,10000.0,8765.79966757753,1,4096,0
3.775,0.01135263,70000.0,10000.0,10000.0,11270.2899498221,1,4096,0
3.775,0.01135263,80000.0,10000.0,10000.0,10146.799369237904,1,4096,0
3.775,0.01135263,90000.0,10000.0,10000.0,19199.263766524335,1,4096,0
3.775,0.15774637,0.0,10.0,1000.0,9.122433984921665,1,4096,0
3.775,0.15774637,10000.0,10.0,1000.0,9.915522298514922,1,4096,0
3.775,0.15774637,1000.0,10.0,1000.0,9.119205459616627,1,4096,0
3.775,0.15774637,11000.0,10.0,1000.0,9.830207250048906,1,4096,0
3.775,0.15774637,12000.0,10.0,1000.0,1.984510413995781,1,4096,0
3.775,0.15774637,13000.0,10.0,1000.0,8.962759171633621,1,4096,0
3.775,0.15774637,14000.0,10.0,1000.0,1.9558718807568705,1,4096,0
3.775,0.15774637,2000.0,10.0,1000.0,1.9043839033235361,1,4096,0
3.775,0.15774637,3000.0,10.0,1000.0,10.406027421618617,1,4096,0
3.775,0.15774637,4000.0,10.0,1000.0,8.66402916509104,1,4096,0
3.775,0.15774637,5000.0,10.0,1000.0,10.306972786305185,1,4096,0
3.775,0.15774637,6000.0,10.0,1000.0,9.167695739241854,1,4096,0
3.775,0.15774637,7000.0,10.0,1000.0,9.910554189103923,1,4096,0
3.775,0.15774637,8000.0,10.0,1000.0,8.66954513851295,1,4096,0
3.775,0.15774637,9000.0,10.0,1000.0,8.73971120220068,1,4096,0
3.8,0.10807693,0.0,10.0,1000.0,13.591520619489728,1,4096,0
3.8,0.10807693,10000.0,10.0,1000.0,15.351556820102987,1,4096,0
