p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.75,0.01233005,0.0,10000.0,10000.0,9732.169194976037,1,4096,0
3.75,0.01233005,100000.0,10000.0,10000.0,,0,4096,0
3.75,0.01233005,10000.0,10000.0,10000.0,11780.890006887075,1,4096,0
3.75,0.01233005,110000.0,10000.0,10000.0,,0,4096,0
3.75,0.01233005,120000.0,10000.0,10000.0,,0,4096,0
3.75,0.01233005,130000.0,10000.0,10000.0,,0,4096,0
3.75,0.01233005,140000.0,10000.0,10000.0,,0,4096,0
3.75,0.01233005,20000.0,10000.0,10000.0,17460.66810497826,1,4096,0
3.75,0.01233005,30000.0,10000.0,10000.0,22029.898090913888,1,4096,0
3.75,0.01233005,40000.0,10000.0,10000.0,33804.02729302292,1,4096,0
3.75,0.01233005,50000.0,10000.0,10000.0,57212.13883108811,1,4096,0
3.75,0.01233005,60000.0,10000.0,10000.0,63879.91207191729,1,4096,0
3.75,0.01233005,70000.0,10000.0,10000.0,74232.67514199247,1,4096,0
3.75,0.01233005,80000.0,10000.0,10000.0,,0,4096,0
3.75,0.01233005,90000.0,10000.0,10000.0,,0,4096,0
3.75,0.01345518,0.0,4641.59,4641.59,3935.3826728164404,1,4096,0
3.75,0.01345518,13925.0,4641.59,4641.59,6342.6748387490825,1,4096,0
3.75,0.01345518,18566.0,4641.59,4641.59,8201.66143778088,1,4096,0
3.75,0.01345518,23208.0,4641.59,4641.59,9941.686709625137,1,4096,0
3.75,0.01345518,27850.0,4641.59,4641.59,9712.483971800699,1,4096,0
3.75,0.01345518,32491.0,4641.59,4641.59,9814.366026600452,1,4096,0
3.75,0.01345518,37133.0,4641.59,4641.59,9839.387951157825,1,4096,0
3.75,0.01345518,41774.0,4641.59,4641.59,10314.366300254169,1,4096,0
3.75,0.01345518,46416.0,4641.59,4641.59,9232.207101333615,1,4096,0
3.75,0.01345518,4642.0,4641.59,4641.59,5803.29673334185,1,4096,0
3.75,0.01345518,51057.0,4641.59,4641.59,9212.884475462883,1,4096,0
3.75,0.01345518,55699.0,4641.59,4641.59,12502.361386671384,1,4096,0
3.75,0.01345518,60341.0,4641.59,4641.59,,0,4096,0
3.75,0.01345518,64982.0,4641.59,4641.59,,0,4096,0
3.75,0.01345518,9283.0,4641.59,4641.59,5540.775791337657,1,4096,0
3.75,0.01513379,0.0,2154.43,2154.43,1355.4062534666887,1,4096,0
3.75,0.01513379,10772.0,2154.43,2154.43,3018.2501534692733,1,4096,0
3.75,0.01513379,12927.0,2154.43,2154.43,3762.674087874492,1,4096,0
3.75,0.01513379,15081.0,2154.43,2154.43,3830.3674531475317,1,4096,0
3.75,0.01513379,17235.0,2154.43,2154.43,3155.0634406555846,1,4096,0
3.75,0.01513379,19390.0,2154.43,2154.43,3162.5695693553334,1,4096,0
3.75,0.01513379,21544.0,2154.43,2154.43,3439.924116957638,1,4096,0
3.75,0.01513379,2154.0,2154.43,2154.43,2150.617653889339,1,4096,0
3.75,0.01513379,23699.0,2154.43,2154.43,3422.4458644592587,1,4096,0
3.75,0.01513379,25853.0,2154.43,2154.43,3310.8725676421564,1,4096,0
3.75,0.01513379,28007.0,2154.43,2154.43,3029.386698035691,1,4096,0
3.75,0.01513379,30162.0,2154.43,2154.43,,0,4096,0
3.75,0.01513379,4309.0,2154.43,2154.43,2965.9991533732964,1,4096,0
3.75,0.01513379,6463.0,2154.43,2154.43,2495.0085149400097,1,4096,0
3.75,0.01513379,8618.0,2154.43,2154.43,2302.800172133552,1,4096,0
3.75,0.0173726,0.0,1000.0,1000.0,828.021591344189,1,4096,0
3.75,0.0173726,10000.0,1000.0,1000.0,1481.3500169095626,1,4096,0
3.75,0.0173726,1000.0,1000.0,1000.0,1125.7927177638753,1,4096,0
3.75,0.0173726,11000.0,1000.0,1000.0,1495.1889719606777,1,4096,0
3.75,0.0173726,12000.0,1000.0,1000.0,1307.1989576556625,1,4096,0
3.75,0.0173726,13000.0,1000.0,1000.0,1271.047056336479,1,4096,0
3.75,0.0173726,14000.0,1000.0,1000.0,,0,4096,0
3.75,0.0173726,2000.0,1000.0,1000.0,1390.0414090922518,1,4096,0
3.75,0.0173726,3000.0,1000.0,1000.0,1309.5178424811797,1,4096,0
3.75,0.0173726,4000.0,1000.0,1000.0,1335.0415095821832,1,4096,0
3.75,0.0173726,5000.0,1000.0,1000.0,1388.462894100452,1,4096,0
3.75,0.0173726,6000.0,1000.0,1000.0,1276.3000372342397,1,4096,0
3.75,0.0173726,7000.0,1000.0,1000.0,1413.3560496170403,1,4096,0
3.75,0.0173726,8000.0,1000.0,1000.0,1400.1091183175422,1,4096,0
3.75,0.0173726,9000.0,1000.0,1000.0,1274.3943079641817,1,4096,0
3.75,0.021317,0.0,464.159,1000.0,430.2991174785172,1,4096,0
3.75,0.021317,10000.0,464.159,1000.0,465.16695989248535,1,4096,0
3.75,0.021317,1000.0,464.159,1000.0,463.00188968911084,1,4096,0
3.75,0.021317,11000.0,464.159,1000.0,519.912021676593,1,4096,0
3.75,0.021317,12000.0,464.159,1000.0,443.219048402407,1,4096,0
3.75,0.021317,13000.0,464.159,1000.0,527.0657039003252,1,4096,0
3.75,0.021317,14000.0,464.159,1000.0,509.41663115695826,1,4096,0
3.75,0.021317,2000.0,464.159,1000.0,476.0526160279442,1,4096,0
3.75,0.021317,3000.0,464.159,1000.0,482.9115025654954,1,4096,0
3.75,0.021317,4000.0,464.159,1000.0,469.4209965273079,1,4096,0
3.75,0.021317,5000.0,464.159,1000.0,474.8675941715805,1,4096,0
3.75,0.021317,6000.0,464.159,1000.0,540.0009868780644,1,4096,0
3.75,0.021317,7000.0,464.159,1000.0,453.1032228140466,1,4096,0
3.75,0.021317,8000.0,464.159,1000.0,544.8070129651298,1,4096,0
3.75,0.021317,9000.0,464.159,1000.0,439.5987858488271,1,4096,0
3.75,0.02871607,0.0,215.443,1000.0,171.52258138444643,1,4096,0
3.75,0.02871607,10000.0,215.443,1000.0,204.2406615648594,1,4096,0
3.75,0.02871607,1000.0,215.443,1000.0,218.27093176543008,1,4096,0
3.75,0.02871607,11000.0,215.443,1000.0,219.1668569144909,1,4096,0
3.75,0.02871607,12000.0,215.443,1000.0,205.8881021689885,1,4096,0
3.75,0.02871607,13000.0,215.443,1000.0,202.6156890816841,1,4096,0
3.75,0.02871607,14000.0,215.443,1000.0,229.5314858972407,1,4096,0
3.75,0.02871607,2000.0,215.443,1000.0,199.78933198395254,1,4096,0
3.75,0.02871607,3000.0,215.443,1000.0,203.686117109712,1,4096,0
3.75,0.02871607,4000.0,215.443,1000.0,189.0869688515263,1,4096,0
3.75,0.02871607,5000.0,215.443,1000.0,200.46119166918226,1,4096,0
3.75,0.02871607,6000.0,215.443,1000.0,186.67248338884792,1,4096,0
3.75,0.02871607,7000.0,215.443,1000.0,193.8618471786844,1,4096,0
3.75,0.02871607,8000.0,215.443,1000.0,202.43762980233538,1,4096,0
3.75,0.02871607,9000.0,215.443,1000.0,206.6349092007464,1,4096,0
3.75,0.03830322,0.0,100.0,1000.0,105.01650482934161,1,4096,0
3.75,0.03830322,10000.0,100.0,1000.0,93.45981513622878,1,4096,0
3.75,0.03830322,1000.0,100.0,1000.0,103.90493096516376,1,4096,0
3.75,0.03830322,11000.0,100.0,1000.0,91.87237172832727,1,4096,0
3.75,0.03830322,12000.0,100.0,1000.0,101.83968984417605,1,4096,0
3.75,0.03830322,13000.0,100.0,1000.0,106.9148033868888,1,4096,0
3.75,0.03830322,14000.0,100.0,1000.0,102.64612565447159,1,4096,0
3.75,0.03830322,2000.0,100.0,1000.0,93.13243632075395,1,4096,0
3.75,0.03830322,3000.0,100.0,1000.0,103.17209134360581,1,4096,0
3.75,0.03830322,4000.0,100.0,1000.0,99.71736051294324,1,4096,0
3.75,0.03830322,5000.0,100.0,1000.0,104.31995937037259,1,4096,0
3.75,0.03830322,6000.0,100.0,1000.0,98.37211402437292,1,4096,0
3.75,0.03830322,7000.0,100.0,1000.0,96.35511887769914,1,4096,0
3.75,0.03830322,8000.0,100.0,1000.0,90.61007051320634,1,4096,0
3.75,0.03830322,9000.0,100.0,1000.0,97.60813532213216,1,4096,0
3.75,0.05939491,0.0,46.4159,1000.0,43.54507691940496,1,4096,0
3.75,0.05939491,10000.0,46.4159,1000.0,39.74167768972831,1,4096,0
3.75,0.05939491,1000.0,46.4159,1000.0,41.428849702917915,1,4096,0
3.75,0.05939491,11000.0,46.4159,1000.0,42.25840582506961,1,4096,0
3.75,0.05939491,12000.0,46.4159,1000.0,42.347371613770385,1,4096,0
3.75,0.05939491,13000.0,46.4159,1000.0,44.27173158723425,1,4096,0
3.75,0.05939491,14000.0,46.4159,1000.0,42.57597376113851,1,4096,0
3.75,0.05939491,2000.0,46.4159,1000.0,42.186198612016035,1,4096,0
3.75,0.05939491,3000.0,46.4159,1000.0,39.96006480457047,1,4096,0
3.75,0.05939491,4000.0,46.4159,1000.0,42.04500007770508,1,4096,0
3.75,0.05939491,5000.0,46.4159,1000.0,46.23796593306447,1,4096,0
