p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.775,0.01137213,41774.0,4641.59,4641.59,7758.352537619176,1,4096,0
3.775,0.01137213,46416.0,4641.59,4641.59,6024.054195283474,1,4096,0
3.775,0.01137213,4642.0,4641.59,4641.59,3765.1119008775086,1,4096,0
3.775,0.01137213,51057.0,4641.59,4641.59,6673.4491590278585,1,4096,0
3.775,0.01137213,55699.0,4641.59,4641.59,8609.169842456093,1,4096,0
3.775,0.01137213,60341.0,4641.59,4641.59,8749.2374847087,1,4096,0
3.775,0.01137213,64982.0,4641.59,4641.59,,0,4096,0
3.775,0.01137213,9283.0,4641.59,4641.59,4491.895448242354,1,4096,0
3.775,0.01305204,0.0,2154.43,2154.43,1355.792703667627,1,4096,0
3.775,0.01305204,10772.0,2154.43,2154.43,1932.2807867348272,1,4096,0
3.775,0.01305204,12927.0,2154.43,2154.43,1737.4650907199127,1,4096,0
3.775,0.01305204,15081.0,2154.43,2154.43,2297.416780006483,1,4096,0
3.775,0.01305204,17235.0,2154.43,2154.43,2068.2264946517203,1,4096,0
3.775,0.01305204,19390.0,2154.43,2154.43,2474.5234031378586,1,4096,0
3.775,0.01305204,21544.0,2154.43,2154.43,2034.7857971785386,1,4096,0
3.775,0.01305204,2154.0,2154.43,2154.43,1398.9478104577333,1,4096,0
3.775,0.01305204,23699.0,2154.43,2154.43,2391.9801779981913,1,4096,0
3.775,0.01305204,25853.0,2154.43,2154.43,2582.7451346094767,1,4096,0
3.775,0.01305204,28007.0,2154.43,2154.43,3145.6920553019395,1,4096,0
3.775,0.01305204,30162.0,2154.43,2154.43,,0,4096,0
3.775,0.01305204,4309.0,2154.43,2154.43,1882.7997557753515,1,4096,0
3.775,0.01305204,6463.0,2154.43,2154.43,1972.9297379216837,1,4096,0
3.775,0.01305204,8618.0,2154.43,2154.43,2078.271235983408,1,4096,0
3.775,0.01531428,0.0,1000.0,1000.0,769.7811246870219,1,4096,0
3.775,0.01531428,10000.0,1000.0,1000.0,903.5694919675122,1,4096,0
3.775,0.01531428,1000.0,1000.0,1000.0,747.4954875688613,1,4096,0
3.775,0.01531428,11000.0,1000.0,1000.0,843.0388759094565,1,4096,0
3.775,0.01531428,12000.0,1000.0,1000.0,907.5535801793256,1,4096,0
3.775,0.01531428,13000.0,1000.0,1000.0,1004.1220788526279,1,4096,0
3.775,0.01531428,14000.0,1000.0,1000.0,961.8944495782248,1,4096,0
3.775,0.01531428,2000.0,1000.0,1000.0,858.6685346382731,1,4096,0
3.775,0.01531428,3000.0,1000.0,1000.0,795.248227209518,1,4096,0
3.775,0.01531428,4000.0,1000.0,1000.0,916.66711615426,1,4096,0
3.775,0.01531428,5000.0,1000.0,1000.0,703.8076433695395,1,4096,0
3.775,0.01531428,6000.0,1000.0,1000.0,886.1256571771872,1,4096,0
3.775,0.01531428,7000.0,1000.0,1000.0,925.521478738753,1,4096,0
3.775,0.01531428,8000.0,1000.0,1000.0,1094.134356124391,1,4096,0
3.775,0.01531428,9000.0,1000.0,1000.0,910.5220623828378,1,4096,0
3.8,0.00718994,0.0,10000.0,10000.0,5175.374785692702,1,4096,0
