p0,T,t1,tauAlpha,tauAlphaEst,waitingTime,kept
3.75,0.01499281,0.04,,4641.59,46416.0,0
3.75,0.01652401,0.04,,2154.43,21544.0,0
3.75,0.01852603,0.04,,1000.0,10000.0,0
3.75,0.02197788,0.04,,464.159,10000.0,0
3.75,0.02929316,0.04,1398.379562989801,215.443,10000.0,0
3.75,0.0387112,0.04,190.70486167811106,100.0,10000.0,1
3.75,0.0563501,0.04,38.69326863985432,46.4159,10000.0,1
3.75,0.08719936,0.04,10.612019279209866,21.5443,10000.0,1
3.75,0.16398674,0.04,1.6548722186703535,10.0,10000.0,1
3.75,0.01421639,0.05,35062.77394855602,10000.0,100000.0,1
3.75,0.01499281,0.05,,4641.59,46416.0,0
3.75,0.01652401,0.05,,2154.43,21544.0,0
3.75,0.01852603,0.05,,1000.0,10000.0,0
3.75,0.02197788,0.05,,464.159,10000.0,0
3.75,0.02929316,0.05,,215.443,10000.0,0
3.75,0.0387112,0.05,3985.3944775697632,100.0,10000.0,0
3.75,0.0563501,0.05,387.07163827194506,46.4159,10000.0,0
3.75,0.08719936,0.05,26.980455427481775,21.5443,10000.0,1
3.75,0.16398674,0.05,2.0715490072579863,10.0,10000.0,1
3.75,0.01421639,0.06,,10000.0,100000.0,0
3.75,0.01499281,0.06,,4641.59,46416.0,0
3.75,0.01652401,0.06,,2154.43,21544.0,0
3.75,0.01852603,0.06,,1000.0,10000.0,0
3.75,0.02197788,0.06,,464.159,10000.0,0
3.75,0.02929316,0.06,,215.443,10000.0,0
3.75,0.0387112,0.06,,100.0,10000.0,0
3.75,0.0563501,0.06,1540.8698057484166,46.4159,10000.0,0
3.75,0.08719936,0.06,61.81961138424063,21.5443,10000.0,1
3.75,0.16398674,0.06,2.2131284626363503,10.0,10000.0,1
3.775,0.01135263,0.001,,10000.0,100000.0,0
3.775,0.01265623,0.001,18306.098384561043,4641.59,46416.0,1
3.775,0.01344977,0.001,,2154.43,21544.0,0
3.775,0.01509788,0.001,,1000.0,10000.0,0
3.775,0.01852515,0.001,4431.327723322337,464.159,10000.0,0
3.775,0.02343962,0.001,2524.48205098407,215.443,10000.0,0
3.775,0.03315978,0.001,1083.6462279893178,100.0,10000.0,0
3.775,0.05158933,0.001,622.0403366534129,46.4159,10000.0,0
3.775,0.08784725,0.001,262.8304612715747,21.5443,10000.0,0
3.775,0.15774637,0.001,144.8670055111013,10.0,10000.0,0
3.775,0.01135263,0.0015,24693.179704369773,10000.0,100000.0,1
3.775,0.01265623,0.0015,17977.810688656155,4641.59,46416.0,1
3.775,0.01344977,0.0015,9224.618320895152,2154.43,21544.0,1
3.775,0.01509788,0.0015,,1000.0,10000.0,0
3.775,0.01852515,0.0015,2654.812473104891,464.159,10000.0,0
3.775,0.02343962,0.0015,1430.7721493761521,215.443,10000.0,0
3.775,0.03315978,0.0015,701.4495011384205,100.0,10000.0,0
3.775,0.05158933,0.0015,304.1518937490264,46.4159,10000.0,0
3.775,0.08784725,0.0015,140.98357662716847,21.5443,10000.0,0
3.775,0.15774637,0.0015,77.17334026314434,10.0,10000.0,0
3.775,0.01135263,0.0022,26102.647362318316,10000.0,100000.0,1
3.775,0.01265623,0.0022,15765.816587655752,4641.59,46416.0,1
3.775,0.01344977,0.0022,8322.147594526146,2154.43,21544.0,1
3.775,0.01509788,0.0022,3073.8414288747667,1000.0,10000.0,1
3.775,0.01852515,0.0022,2084.7773359676667,464.159,10000.0,1
3.775,0.02343962,0.0022,1010.9821341256219,215.443,10000.0,1
3.775,0.03315978,0.0022,490.22280613279946,100.0,10000.0,1
3.775,0.05158933,0.0022,205.05570510789033,46.4159,10000.0,1
3.775,0.08784725,0.0022,95.93023275631235,21.5443,10000.0,1
3.775,0.15774637,0.0022,48.14992130240028,10.0,10000.0,1
3.775,0.01135263,0.0032,25394.35142561411,10000.0,100000.0,1
3.775,0.01265623,0.0032,6116.888727204402,4641.59,46416.0,1
3.775,0.01344977,0.0032,4630.291495961364,2154.43,21544.0,1
3.775,0.01509788,0.0032,2724.5220219414423,1000.0,10000.0,1
3.775,0.01852515,0.0032,1314.3604385104823,464.159,10000.0,1
3.775,0.02343962,0.0032,662.7368117581665,215.443,10000.0,1
3.775,0.03315978,0.0032,330.85508874467087,100.0,10000.0,1
