t1,p0,T,waitingTime,tauAlpha,crossed,n,idx,source
0.02,3.8,0.00804331,140000.0,3967.5869006603566,1,4096,0,t1Scan
0.02,3.8,0.00857386,64982.0,2886.647480993279,1,4096,0,t1Scan
0.02,3.8,0.00972763,30162.0,1153.656827685295,1,4096,0,t1Scan
0.02,3.8,0.01138609,14000.0,563.6289886308475,1,4096,0,t1Scan
0.02,3.8,0.0145279,14000.0,251.55981044679987,1,4096,0,t1Scan
0.02,3.8,0.01950438,14000.0,123.78927033494405,1,4096,0,t1Scan
0.02,3.8,0.02908965,14000.0,61.07948596311668,1,4096,0,t1Scan
0.02,3.8,0.04732642,14000.0,23.85357115858861,1,4096,0,t1Scan
0.02,3.8,0.07997788,14000.0,11.368862023764649,1,4096,0,t1Scan
0.02,3.8,0.10807693,14000.0,7.689286506395561,1,4096,0,t1Scan
0.03,3.8,0.00804331,140000.0,1782.4534933568677,1,4096,0,t1Scan
0.03,3.8,0.00857386,64982.0,1163.7427911966247,1,4096,0,t1Scan
0.03,3.8,0.00972763,30162.0,609.2287893127893,1,4096,0,t1Scan
0.03,3.8,0.01138609,14000.0,405.9863581418154,1,4096,0,t1Scan
0.03,3.8,0.0145279,14000.0,199.3196775226727,1,4096,0,t1Scan
0.03,3.8,0.01950438,14000.0,91.7665929625085,1,4096,0,t1Scan
0.03,3.8,0.02908965,14000.0,40.02225884636034,1,4096,0,t1Scan
0.03,3.8,0.04732642,14000.0,19.61841791296345,1,4096,0,t1Scan
0.03,3.8,0.07997788,14000.0,7.646757928334943,1,4096,0,t1Scan
0.03,3.8,0.10807693,14000.0,5.625056646570713,1,4096,0,t1Scan
0.04,3.8,0.00804331,3000.0,9641.318488097375,1,4096,0,t1Scan
0.04,3.8,0.00857386,3000.0,3231.3811012825704,1,4096,0,t1Scan
0.04,3.8,0.00972763,1000.0,523.6427999671662,1,4096,0,t1Scan
0.04,3.8,0.01138609,6000.0,8499.304989187176,1,4096,0,t1Scan
0.04,3.8,0.0145279,8000.0,5862.310162931108,1,4096,0,t1Scan
0.04,3.8,0.01950438,12000.0,2480.4594877935224,1,4096,0,t1Scan
0.04,3.8,0.02908965,14000.0,498.0052888511664,1,4096,0,t1Scan
0.04,3.8,0.04732642,14000.0,39.45054183491449,1,4096,0,t1Scan
0.04,3.8,0.07997788,14000.0,11.25789271510324,1,4096,0,t1Scan
0.04,3.8,0.10807693,14000.0,6.266724815562027,1,4096,0,t1Scan
0.05,3.8,0.0145279,1000.0,9224.571494302518,1,4096,0,t1Scan
0.05,3.8,0.01950438,8000.0,6210.784901078647,1,4096,0,t1Scan
0.05,3.8,0.02908965,11000.0,2576.32392242089,1,4096,0,t1Scan
0.05,3.8,0.04732642,14000.0,396.4875289596438,1,4096,0,t1Scan
0.05,3.8,0.07997788,14000.0,21.52178768431053,1,4096,0,t1Scan
0.05,3.8,0.10807693,14000.0,7.279101238087187,1,4096,0,t1Scan
0.06,3.8,0.00857386,0.0,13914.453986027105,1,4096,0,t1Scan
0.06,3.8,0.01950438,2000.0,11688.913161120185,1,4096,0,t1Scan
